Algoritmo,Probabilidad,Tamaño,Correctos,Detectados,Corregidos,Fallidos
hamming,0.001,8,9858,142,142,0
hamming,0.001,16,9721,279,279,0
hamming,0.001,32,9443,557,557,0
hamming,0.001,64,8921,1079,1079,0
hamming,0.001,128,8003,1997,1997,0
hamming,0.005,8,9279,721,721,0
hamming,0.005,16,8653,1347,1347,0
hamming,0.005,32,7582,2418,2418,0
hamming,0.005,64,5680,4320,4320,0
hamming,0.005,128,3332,6668,6668,0
hamming,0.01,8,8634,1366,1366,0
hamming,0.01,16,7583,2417,2417,0
hamming,0.01,32,5750,4250,4250,0
hamming,0.01,64,3314,6686,6686,0
hamming,0.01,128,1014,8986,8986,0
hamming,0.02,8,7577,2423,2423,0
hamming,0.02,16,5739,4261,4261,0
hamming,0.02,32,3224,6776,6776,0
hamming,0.02,64,1051,8949,8949,0
hamming,0.02,128,99,9901,9901,0
hamming,0.05,8,4919,5081,5081,0
hamming,0.05,16,2359,7641,7641,0
hamming,0.05,32,581,9419,9419,0
hamming,0.05,64,32,9968,9968,0
hamming,0.05,128,0,10000,10000,0
crc,0.001,8,10000,0,0,0
crc,0.001,16,10000,0,0,0
crc,0.001,32,10000,0,0,0
crc,0.001,64,10000,0,0,0
crc,0.001,128,10000,0,0,0
crc,0.005,8,10000,0,0,0
crc,0.005,16,10000,0,0,0
crc,0.005,32,10000,0,0,0
crc,0.005,64,10000,0,0,0
crc,0.005,128,10000,0,0,0
crc,0.01,8,10000,0,0,0
crc,0.01,16,10000,0,0,0
crc,0.01,32,10000,0,0,0
crc,0.01,64,10000,0,0,0
crc,0.01,128,10000,0,0,0
crc,0.02,8,10000,0,0,0
crc,0.02,16,10000,0,0,0
crc,0.02,32,10000,0,0,0
crc,0.02,64,10000,0,0,0
crc,0.02,128,10000,0,0,0
crc,0.05,8,10000,0,0,0
crc,0.05,16,10000,0,0,0
crc,0.05,32,10000,0,0,0
crc,0.05,64,10000,0,0,0
crc,0.05,128,10000,0,0,0
